County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
49 - Sonoma,8/27/2015,In Construction,14167578,55,Bay Area Counties
49 - Sonoma,8/27/2015,In Closure,130311768,20,Bay Area Counties
50 - Stanislaus,8/27/2015,In Review,12007504,18,
50 - Stanislaus,8/27/2015,Pending Construction,5504874,33,
50 - Stanislaus,8/27/2015,In Construction,28000471,38,
50 - Stanislaus,8/27/2015,In Closure,7636275,14,
51 - Sutter,8/27/2015,In Review,0,1,
51 - Sutter,8/27/2015,Pending Construction,12666000,2,
51 - Sutter,8/27/2015,In Construction,280767,2,
51 - Sutter,8/27/2015,In Closure,0,0,
52 - Tehama,8/27/2015,In Review,644636,3,
52 - Tehama,8/27/2015,Pending Construction,268075,4,
52 - Tehama,8/27/2015,In Construction,2501752,10,
52 - Tehama,8/27/2015,In Closure,0,0,
53 - Trinity,8/27/2015,In Review,175000,3,
53 - Trinity,8/27/2015,Pending Construction,258500,2,
53 - Trinity,8/27/2015,In Construction,1496842,2,
53 - Trinity,8/27/2015,In Closure,0,0,
54 - Tulare,8/27/2015,In Review,25317000,8,
54 - Tulare,8/27/2015,Pending Construction,4587800,9,
54 - Tulare,8/27/2015,In Construction,79387345,22,
54 - Tulare,8/27/2015,In Closure,290000,4,
55 - Tuolumne,8/27/2015,In Review,1405127,1,
55 - Tuolumne,8/27/2015,Pending Construction,0,0,
55 - Tuolumne,8/27/2015,In Construction,356500,2,
55 - Tuolumne,8/27/2015,In Closure,212721,2,
56 - Ventura,8/27/2015,In Review,87634005,54,Greater Los Angeles Counties
56 - Ventura,8/27/2015,Pending Construction,23806372,41,Greater Los Angeles Counties
56 - Ventura,8/27/2015,In Construction,549412241,99,Greater Los Angeles Counties
56 - Ventura,8/27/2015,In Closure,59836066,25,Greater Los Angeles Counties
57 - Yolo,8/27/2015,In Review,6163841,9,Greater Sacramento Counties
57 - Yolo,8/27/2015,Pending Construction,358071,7,Greater Sacramento Counties
57 - Yolo,8/27/2015,In Construction,4291939,12,Greater Sacramento Counties
57 - Yolo,8/27/2015,In Closure,1764497,4,Greater Sacramento Counties
58 - Yuba,8/27/2015,In Review,10015108,7,
58 - Yuba,8/27/2015,Pending Construction,44795275,3,
58 - Yuba,8/27/2015,In Construction,96281094,5,
58 - Yuba,8/27/2015,In Closure,0,0,
01 - Alameda,9/9/2015,In Review,162975432,70,Bay Area Counties
01 - Alameda,9/9/2015,Pending Construction,57722544,121,Bay Area Counties
01 - Alameda,9/9/2015,In Construction,571848362,126,Bay Area Counties
01 - Alameda,9/9/2015,In Closure,696328191,99,Bay Area Counties
02 - Alpine,9/9/2015,In Review,0,0,
02 - Alpine,9/9/2015,Pending Construction,0,0,
02 - Alpine,9/9/2015,In Construction,0,0,
02 - Alpine,9/9/2015,In Closure,0,0,
03 - Amador,9/9/2015,In Review,406000,2,
03 - Amador,9/9/2015,Pending Construction,243225,3,
03 - Amador,9/9/2015,In Construction,3533273,3,
03 - Amador,9/9/2015,In Closure,556419,3,
04 - Butte,9/9/2015,In Review,2404470,6,
04 - Butte,9/9/2015,Pending Construction,5171355,11,
04 - Butte,9/9/2015,In Construction,3251688,12,
04 - Butte,9/9/2015,In Closure,97160029,6,
05 - Calaveras,9/9/2015,In Review,0,0,
05 - Calaveras,9/9/2015,Pending Construction,0,0,
05 - Calaveras,9/9/2015,In Construction,103650,1,
05 - Calaveras,9/9/2015,In Closure,398844,4,
06 - Colusa,9/9/2015,In Review,0,0,
06 - Colusa,9/9/2015,Pending Construction,0,0,
06 - Colusa,9/9/2015,In Construction,0,0,
06 - Colusa,9/9/2015,In Closure,137066,3,
07 - Contra Costa,9/9/2015,In Review,27065046,36,Bay Area Counties
07 - Contra Costa,9/9/2015,Pending Construction,15734265,33,Bay Area Counties
07 - Contra Costa,9/9/2015,In Construction,28589141,60,Bay Area Counties
07 - Contra Costa,9/9/2015,In Closure,6818053,18,Bay Area Counties
08 - Del Norte,9/9/2015,In Review,2417000,4,
08 - Del Norte,9/9/2015,Pending Construction,125000,2,
08 - Del Norte,9/9/2015,In Construction,225970,3,
08 - Del Norte,9/9/2015,In Closure,1282552,1,
09 - El Dorado,9/9/2015,In Review,4879677,5,Greater Sacramento Counties
09 - El Dorado,9/9/2015,Pending Construction,268500,3,Greater Sacramento Counties
09 - El Dorado,9/9/2015,In Construction,14545902,13,Greater Sacramento Counties
09 - El Dorado,9/9/2015,In Closure,33739599,5,Greater Sacramento Counties
10 - Fresno,9/9/2015,In Review,35347110,28,
10 - Fresno,9/9/2015,Pending Construction,14541001,35,
10 - Fresno,9/9/2015,In Construction,81274136,87,
10 - Fresno,9/9/2015,In Closure,194246419,50,
11 - Glenn,9/9/2015,In Review,12912075,1,
11 - Glenn,9/9/2015,Pending Construction,50000,1,
11 - Glenn,9/9/2015,In Construction,284685,1,
11 - Glenn,9/9/2015,In Closure,0,0,
12 - Humboldt,9/9/2015,In Review,13064433,11,
12 - Humboldt,9/9/2015,Pending Construction,150900,6,
12 - Humboldt,9/9/2015,In Construction,89388970,15,
12 - Humboldt,9/9/2015,In Closure,243000,3,
13 - Imperial,9/9/2015,In Review,43677000,6,
13 - Imperial,9/9/2015,Pending Construction,20324000,2,
13 - Imperial,9/9/2015,In Construction,8764758,8,
13 - Imperial,9/9/2015,In Closure,433897,3,
14 - Inyo,9/9/2015,In Review,30000,1,
14 - Inyo,9/9/2015,Pending Construction,0,0,
14 - Inyo,9/9/2015,In Construction,0,0,
14 - Inyo,9/9/2015,In Closure,99196,4,
15 - Kern,9/9/2015,In Review,11161426,28,
15 - Kern,9/9/2015,Pending Construction,4211100,16,
15 - Kern,9/9/2015,In Construction,63359797,36,
15 - Kern,9/9/2015,In Closure,3328711,14,
16 - Kings,9/9/2015,In Review,0,0,
16 - Kings,9/9/2015,Pending Construction,27000,3,
16 - Kings,9/9/2015,In Construction,28313428,3,
16 - Kings,9/9/2015,In Closure,110895,4,
17 - Lake,9/9/2015,In Review,957000,4,
17 - Lake,9/9/2015,Pending Construction,995000,2,
17 - Lake,9/9/2015,In Construction,2741879,8,
17 - Lake,9/9/2015,In Closure,9020617,6,
18 - Lassen,9/9/2015,In Review,0,0,
18 - Lassen,9/9/2015,Pending Construction,1202600,4,
18 - Lassen,9/9/2015,In Construction,1376068,11,
18 - Lassen,9/9/2015,In Closure,617870,2,
19 - Los Angeles,9/9/2015,In Review,626210317,582,Greater Los Angeles Counties
19 - Los Angeles,9/9/2015,Pending Construction,221988489,502,Greater Los Angeles Counties
19 - Los Angeles,9/9/2015,In Construction,899668004,879,Greater Los Angeles Counties
19 - Los Angeles,9/9/2015,In Closure,1266893259,564,Greater Los Angeles Counties
20 - Madera,9/9/2015,In Review,3625478,6,
20 - Madera,9/9/2015,Pending Construction,4198511,12,
20 - Madera,9/9/2015,In Construction,3127948,18,
20 - Madera,9/9/2015,In Closure,2909885,14,
21 - Marin,9/9/2015,In Review,109073291,20,Bay Area Counties
21 - Marin,9/9/2015,Pending Construction,109098698,22,Bay Area Counties
21 - Marin,9/9/2015,In Construction,33288694,23,Bay Area Counties
21 - Marin,9/9/2015,In Closure,1917231,12,Bay Area Counties
22 - Mariposa,9/9/2015,In Review,198686,1,
22 - Mariposa,9/9/2015,Pending Construction,0,0,
22 - Mariposa,9/9/2015,In Construction,163850,1,
22 - Mariposa,9/9/2015,In Closure,0,0,
23 - Mendocino,9/9/2015,In Review,663338,12,
23 - Mendocino,9/9/2015,Pending Construction,162369,6,
23 - Mendocino,9/9/2015,In Construction,61602573,22,
23 - Mendocino,9/9/2015,In Closure,889378,10,
24 - Merced,9/9/2015,In Review,105266,5,
24 - Merced,9/9/2015,Pending Construction,220500,3,
24 - Merced,9/9/2015,In Construction,13391175,11,
24 - Merced,9/9/2015,In Closure,381840,3,
25 - Modoc,9/9/2015,In Review,0,0,
25 - Modoc,9/9/2015,Pending Construction,0,0,
25 - Modoc,9/9/2015,In Construction,0,0,
25 - Modoc,9/9/2015,In Closure,0,0,
26 - Mono,9/9/2015,In Review,95397,1,
26 - Mono,9/9/2015,Pending Construction,60000,1,
26 - Mono,9/9/2015,In Construction,21398,3,
26 - Mono,9/9/2015,In Closure,0,0,
27 - Monterey,9/9/2015,In Review,14267506,22,
27 - Monterey,9/9/2015,Pending Construction,1808238,12,
27 - Monterey,9/9/2015,In Construction,41016582,17,
27 - Monterey,9/9/2015,In Closure,67300,1,
28 - Napa,9/9/2015,In Review,2453727,19,Bay Area Counties
28 - Napa,9/9/2015,Pending Construction,356554,10,Bay Area Counties
28 - Napa,9/9/2015,In Construction,3300217,16,Bay Area Counties
28 - Napa,9/9/2015,In Closure,85245958,14,Bay Area Counties
29 - Nevada,9/9/2015,In Review,4772090,8,
29 - Nevada,9/9/2015,Pending Construction,420000,3,
29 - Nevada,9/9/2015,In Construction,47767410,23,
29 - Nevada,9/9/2015,In Closure,9412212,8,
30 - Orange,9/9/2015,In Review,53181902,83,Greater Los Angeles Counties
30 - Orange,9/9/2015,Pending Construction,17758665,63,Greater Los Angeles Counties
30 - Orange,9/9/2015,In Construction,111181229,211,Greater Los Angeles Counties
30 - Orange,9/9/2015,In Closure,51544463,187,Greater Los Angeles Counties
31 - Placer,9/9/2015,In Review,6968885,14,Greater Sacramento Counties
31 - Placer,9/9/2015,Pending Construction,2793412,15,Greater Sacramento Counties
31 - Placer,9/9/2015,In Construction,15564071,33,Greater Sacramento Counties
31 - Placer,9/9/2015,In Closure,68014813,15,Greater Sacramento Counties
32 - Plumas,9/9/2015,In Review,30000,1,
32 - Plumas,9/9/2015,Pending Construction,185555,6,
32 - Plumas,9/9/2015,In Construction,45900,1,
32 - Plumas,9/9/2015,In Closure,0,0,
33 - Riverside,9/9/2015,In Review,134038603,67,
33 - Riverside,9/9/2015,Pending Construction,91239556,70,
33 - Riverside,9/9/2015,In Construction,224608173,140,
33 - Riverside,9/9/2015,In Closure,16476997,51,
34 - Sacramento,9/9/2015,In Review,87637582,69,Greater Sacramento Counties
34 - Sacramento,9/9/2015,Pending Construction,115814250,55,Greater Sacramento Counties
34 - Sacramento,9/9/2015,In Construction,298478416,140,Greater Sacramento Counties
34 - Sacramento,9/9/2015,In Closure,119124237,38,Greater Sacramento Counties
35 - San Benito,9/9/2015,In Review,0,0,
35 - San Benito,9/9/2015,Pending Construction,308802,4,
35 - San Benito,9/9/2015,In Construction,14008205,3,
35 - San Benito,9/9/2015,In Closure,0,0,
36 - San Bernardino,9/9/2015,In Review,659048491,66,
36 - San Bernardino,9/9/2015,Pending Construction,26867146,85,
36 - San Bernardino,9/9/2015,In Construction,197330127,121,
36 - San Bernardino,9/9/2015,In Closure,6078578,42,
37 - San Diego,9/9/2015,In Review,87133303,112,
37 - San Diego,9/9/2015,Pending Construction,48839427,117,
37 - San Diego,9/9/2015,In Construction,1013662677,244,
37 - San Diego,9/9/2015,In Closure,69672213,108,
38 - San Francisco,9/9/2015,In Review,471646956,47,Bay Area Counties
38 - San Francisco,9/9/2015,Pending Construction,40486705,47,Bay Area Counties
38 - San Francisco,9/9/2015,In Construction,1155303491,123,Bay Area Counties
38 - San Francisco,9/9/2015,In Closure,473738737,32,Bay Area Counties
39 - San Joaquin,9/9/2015,In Review,35106148,27,
39 - San Joaquin,9/9/2015,Pending Construction,7544988,26,
39 - San Joaquin,9/9/2015,In Construction,12851529,45,
39 - San Joaquin,9/9/2015,In Closure,11328047,18,
40 - San Luis Obispo,9/9/2015,In Review,1888986,9,
40 - San Luis Obispo,9/9/2015,Pending Construction,627250,14,
40 - San Luis Obispo,9/9/2015,In Construction,3681503,14,
40 - San Luis Obispo,9/9/2015,In Closure,7609279,15,
41 - San Mateo,9/9/2015,In Review,68287410,21,Bay Area Counties
41 - San Mateo,9/9/2015,Pending Construction,156440814,39,Bay Area Counties
41 - San Mateo,9/9/2015,In Construction,74513260,35,Bay Area Counties
41 - San Mateo,9/9/2015,In Closure,41802359,18,Bay Area Counties
42 - Santa Barbara,9/9/2015,In Review,6031343,17,
42 - Santa Barbara,9/9/2015,Pending Construction,10962088,21,
42 - Santa Barbara,9/9/2015,In Construction,373810815,59,
42 - Santa Barbara,9/9/2015,In Closure,15721747,18,
43 - Santa Clara,9/9/2015,In Review,253557248,74,Bay Area Counties
43 - Santa Clara,9/9/2015,Pending Construction,18037625,49,Bay Area Counties
43 - Santa Clara,9/9/2015,In Construction,1695820166,133,Bay Area Counties
43 - Santa Clara,9/9/2015,In Closure,186772425,36,Bay Area Counties
44 - Santa Cruz,9/9/2015,In Review,3029313,7,
44 - Santa Cruz,9/9/2015,Pending Construction,290971,5,
44 - Santa Cruz,9/9/2015,In Construction,10266840,10,
44 - Santa Cruz,9/9/2015,In Closure,1321467,6,
45 - Shasta,9/9/2015,In Review,21255435,13,
45 - Shasta,9/9/2015,Pending Construction,770200,11,
45 - Shasta,9/9/2015,In Construction,9261138,23,
45 - Shasta,9/9/2015,In Closure,2458129,16,
46 - Sierra,9/9/2015,In Review,0,0,
46 - Sierra,9/9/2015,Pending Construction,0,0,
46 - Sierra,9/9/2015,In Construction,0,0,
46 - Sierra,9/9/2015,In Closure,0,0,
47 - Siskiyou,9/9/2015,In Review,1968000,6,
47 - Siskiyou,9/9/2015,Pending Construction,297000,4,
47 - Siskiyou,9/9/2015,In Construction,953032,6,
47 - Siskiyou,9/9/2015,In Closure,746708,7,
48 - Solano,9/9/2015,In Review,58433831,16,Bay Area Counties
48 - Solano,9/9/2015,Pending Construction,715716,10,Bay Area Counties
48 - Solano,9/9/2015,In Construction,47236930,35,Bay Area Counties
48 - Solano,9/9/2015,In Closure,8184831,17,Bay Area Counties
49 - Sonoma,9/9/2015,In Review,6255896,25,Bay Area Counties
49 - Sonoma,9/9/2015,Pending Construction,2409867,25,Bay Area Counties
49 - Sonoma,9/9/2015,In Construction,15554810,59,Bay Area Counties
49 - Sonoma,9/9/2015,In Closure,130311768,20,Bay Area Counties
50 - Stanislaus,9/9/2015,In Review,12007504,18,
50 - Stanislaus,9/9/2015,Pending Construction,5437135,31,
50 - Stanislaus,9/9/2015,In Construction,27649952,36,
50 - Stanislaus,9/9/2015,In Closure,5041062,15,
51 - Sutter,9/9/2015,In Review,0,1,
51 - Sutter,9/9/2015,Pending Construction,12666000,2,
51 - Sutter,9/9/2015,In Construction,280767,2,
51 - Sutter,9/9/2015,In Closure,0,0,
52 - Tehama,9/9/2015,In Review,644636,3,
52 - Tehama,9/9/2015,Pending Construction,250000,3,
52 - Tehama,9/9/2015,In Construction,2519752,11,
52 - Tehama,9/9/2015,In Closure,0,0,
53 - Trinity,9/9/2015,In Review,175000,3,
53 - Trinity,9/9/2015,Pending Construction,258500,2,
53 - Trinity,9/9/2015,In Construction,1496842,2,
53 - Trinity,9/9/2015,In Closure,0,0,
54 - Tulare,9/9/2015,In Review,25327000,9,
54 - Tulare,9/9/2015,Pending Construction,4572800,7,
54 - Tulare,9/9/2015,In Construction,79396090,23,
54 - Tulare,9/9/2015,In Closure,306068,5,
55 - Tuolumne,9/9/2015,In Review,1405127,1,
55 - Tuolumne,9/9/2015,Pending Construction,0,0,
55 - Tuolumne,9/9/2015,In Construction,5000,1,
55 - Tuolumne,9/9/2015,In Closure,564221,3,
56 - Ventura,9/9/2015,In Review,88647005,57,Greater Los Angeles Counties
56 - Ventura,9/9/2015,Pending Construction,23783313,42,Greater Los Angeles Counties
56 - Ventura,9/9/2015,In Construction,549489241,99,Greater Los Angeles Counties
56 - Ventura,9/9/2015,In Closure,36287511,24,Greater Los Angeles Counties
57 - Yolo,9/9/2015,In Review,6163841,9,Greater Sacramento Counties
57 - Yolo,9/9/2015,Pending Construction,358071,7,Greater Sacramento Counties
57 - Yolo,9/9/2015,In Construction,4295439,12,Greater Sacramento Counties
57 - Yolo,9/9/2015,In Closure,1744917,3,Greater Sacramento Counties
58 - Yuba,9/9/2015,In Review,10015108,7,
58 - Yuba,9/9/2015,Pending Construction,44795275,3,
58 - Yuba,9/9/2015,In Construction,96281094,5,
58 - Yuba,9/9/2015,In Closure,0,0,
01 - Alameda,9/24/2015,In Review,163687911,72,Bay Area Counties
01 - Alameda,9/24/2015,Pending Construction,55271925,122,Bay Area Counties
01 - Alameda,9/24/2015,In Construction,574479025,125,Bay Area Counties
01 - Alameda,9/24/2015,In Closure,330886008,92,Bay Area Counties
02 - Alpine,9/24/2015,In Review,0,0,
02 - Alpine,9/24/2015,Pending Construction,0,0,
02 - Alpine,9/24/2015,In Construction,0,0,
02 - Alpine,9/24/2015,In Closure,0,0,
03 - Amador,9/24/2015,In Review,406000,2,
03 - Amador,9/24/2015,Pending Construction,243225,3,
03 - Amador,9/24/2015,In Construction,2590725,2,
03 - Amador,9/24/2015,In Closure,1513357,4,
04 - Butte,9/24/2015,In Review,2394470,5,
04 - Butte,9/24/2015,Pending Construction,5070855,9,
04 - Butte,9/24/2015,In Construction,3252915,11,
04 - Butte,9/24/2015,In Closure,97168802,7,
05 - Calaveras,9/24/2015,In Review,33750,1,
05 - Calaveras,9/24/2015,Pending Construction,0,0,
05 - Calaveras,9/24/2015,In Construction,103650,1,
05 - Calaveras,9/24/2015,In Closure,398844,4,
06 - Colusa,9/24/2015,In Review,0,0,
06 - Colusa,9/24/2015,Pending Construction,0,0,
06 - Colusa,9/24/2015,In Construction,0,0,
06 - Colusa,9/24/2015,In Closure,137066,3,
07 - Contra Costa,9/24/2015,In Review,26341024,31,Bay Area Counties
07 - Contra Costa,9/24/2015,Pending Construction,15831140,30,Bay Area Counties
07 - Contra Costa,9/24/2015,In Construction,29651613,68,Bay Area Counties
07 - Contra Costa,9/24/2015,In Closure,6857960,18,Bay Area Counties
08 - Del Norte,9/24/2015,In Review,2275000,3,
08 - Del Norte,9/24/2015,Pending Construction,267000,3,
08 - Del Norte,9/24/2015,In Construction,225970,3,
08 - Del Norte,9/24/2015,In Closure,1282552,1,
09 - El Dorado,9/24/2015,In Review,5448170,6,Greater Sacramento Counties
09 - El Dorado,9/24/2015,Pending Construction,267000,2,Greater Sacramento Counties
09 - El Dorado,9/24/2015,In Construction,36908614,16,Greater Sacramento Counties
09 - El Dorado,9/24/2015,In Closure,11237241,3,Greater Sacramento Counties
10 - Fresno,9/24/2015,In Review,35061002,30,
10 - Fresno,9/24/2015,Pending Construction,15436939,37,
10 - Fresno,9/24/2015,In Construction,80557651,84,
10 - Fresno,9/24/2015,In Closure,193662647,50,
11 - Glenn,9/24/2015,In Review,12912075,1,
11 - Glenn,9/24/2015,Pending Construction,50000,1,
11 - Glenn,9/24/2015,In Construction,284685,1,
11 - Glenn,9/24/2015,In Closure,0,0,
12 - Humboldt,9/24/2015,In Review,13064433,11,
12 - Humboldt,9/24/2015,Pending Construction,160900,7,
12 - Humboldt,9/24/2015,In Construction,89386970,15,
12 - Humboldt,9/24/2015,In Closure,243000,3,
13 - Imperial,9/24/2015,In Review,43677000,6,
13 - Imperial,9/24/2015,Pending Construction,20324000,2,
13 - Imperial,9/24/2015,In Construction,8764758,8,
13 - Imperial,9/24/2015,In Closure,433897,3,
14 - Inyo,9/24/2015,In Review,30000,1,
14 - Inyo,9/24/2015,Pending Construction,0,0,
14 - Inyo,9/24/2015,In Construction,0,0,
14 - Inyo,9/24/2015,In Closure,92660,3,
15 - Kern,9/24/2015,In Review,11318896,28,
15 - Kern,9/24/2015,Pending Construction,4124600,17,
15 - Kern,9/24/2015,In Construction,63321267,35,
15 - Kern,9/24/2015,In Closure,3752877,15,
16 - Kings,9/24/2015,In Review,0,0,
16 - Kings,9/24/2015,Pending Construction,27000,3,
16 - Kings,9/24/2015,In Construction,28313428,3,
16 - Kings,9/24/2015,In Closure,11670,2,
17 - Lake,9/24/2015,In Review,103000,3,
17 - Lake,9/24/2015,Pending Construction,1849000,3,
17 - Lake,9/24/2015,In Construction,2741879,8,
17 - Lake,9/24/2015,In Closure,9020617,6,
18 - Lassen,9/24/2015,In Review,0,0,
18 - Lassen,9/24/2015,Pending Construction,1202600,4,
18 - Lassen,9/24/2015,In Construction,1376068,11,
18 - Lassen,9/24/2015,In Closure,617870,2,
19 - Los Angeles,9/24/2015,In Review,636201882,578,Greater Los Angeles Counties
19 - Los Angeles,9/24/2015,Pending Construction,212803454,500,Greater Los Angeles Counties
19 - Los Angeles,9/24/2015,In Construction,913359315,884,Greater Los Angeles Counties
19 - Los Angeles,9/24/2015,In Closure,1264874532,561,Greater Los Angeles Counties
20 - Madera,9/24/2015,In Review,2631000,4,
20 - Madera,9/24/2015,Pending Construction,4946208,14,
20 - Madera,9/24/2015,In Construction,3464640,18,
20 - Madera,9/24/2015,In Closure,2935683,15,
21 - Marin,9/24/2015,In Review,109049791,18,Bay Area Counties
21 - Marin,9/24/2015,Pending Construction,108862892,20,Bay Area Counties
21 - Marin,9/24/2015,In Construction,15288555,26,Bay Area Counties
21 - Marin,9/24/2015,In Closure,20315320,13,Bay Area Counties
22 - Mariposa,9/24/2015,In Review,204686,2,
22 - Mariposa,9/24/2015,Pending Construction,0,0,
22 - Mariposa,9/24/2015,In Construction,163850,1,
22 - Mariposa,9/24/2015,In Closure,0,0,
23 - Mendocino,9/24/2015,In Review,648838,13,
23 - Mendocino,9/24/2015,Pending Construction,176000,6,
23 - Mendocino,9/24/2015,In Construction,61608942,23,
23 - Mendocino,9/24/2015,In Closure,889378,10,
24 - Merced,9/24/2015,In Review,126104,7,
24 - Merced,9/24/2015,Pending Construction,220500,3,
24 - Merced,9/24/2015,In Construction,13312624,10,
24 - Merced,9/24/2015,In Closure,454735,4,
25 - Modoc,9/24/2015,In Review,0,0,
25 - Modoc,9/24/2015,Pending Construction,0,0,
25 - Modoc,9/24/2015,In Construction,0,0,
25 - Modoc,9/24/2015,In Closure,0,0,
26 - Mono,9/24/2015,In Review,0,0,
26 - Mono,9/24/2015,Pending Construction,60000,1,
26 - Mono,9/24/2015,In Construction,21398,3,
26 - Mono,9/24/2015,In Closure,0,0,
27 - Monterey,9/24/2015,In Review,15141906,25,
27 - Monterey,9/24/2015,Pending Construction,1588238,10,
27 - Monterey,9/24/2015,In Construction,41078895,18,
27 - Monterey,9/24/2015,In Closure,160000,1,
28 - Napa,9/24/2015,In Review,2547827,21,Bay Area Counties
28 - Napa,9/24/2015,Pending Construction,393314,9,Bay Area Counties
28 - Napa,9/24/2015,In Construction,3287677,16,Bay Area Counties
28 - Napa,9/24/2015,In Closure,85332515,16,Bay Area Counties
29 - Nevada,9/24/2015,In Review,7272090,9,
29 - Nevada,9/24/2015,Pending Construction,370000,2,
29 - Nevada,9/24/2015,In Construction,46365727,21,
29 - Nevada,9/24/2015,In Closure,10884076,11,
30 - Orange,9/24/2015,In Review,53291508,80,Greater Los Angeles Counties
30 - Orange,9/24/2015,Pending Construction,17777721,67,Greater Los Angeles Counties
30 - Orange,9/24/2015,In Construction,107201470,197,Greater Los Angeles Counties
30 - Orange,9/24/2015,In Closure,53214019,185,Greater Los Angeles Counties
31 - Placer,9/24/2015,In Review,2068885,14,Greater Sacramento Counties
31 - Placer,9/24/2015,Pending Construction,2248226,13,Greater Sacramento Counties
31 - Placer,9/24/2015,In Construction,16052423,35,Greater Sacramento Counties
31 - Placer,9/24/2015,In Closure,18344097,15,Greater Sacramento Counties
32 - Plumas,9/24/2015,In Review,30000,1,
32 - Plumas,9/24/2015,Pending Construction,185555,6,
32 - Plumas,9/24/2015,In Construction,45900,1,
32 - Plumas,9/24/2015,In Closure,0,0,
33 - Riverside,9/24/2015,In Review,133373603,67,
33 - Riverside,9/24/2015,Pending Construction,91373046,71,
33 - Riverside,9/24/2015,In Construction,225003673,139,
33 - Riverside,9/24/2015,In Closure,16614788,52,
34 - Sacramento,9/24/2015,In Review,87836915,71,Greater Sacramento Counties
34 - Sacramento,9/24/2015,Pending Construction,115083635,56,Greater Sacramento Counties
34 - Sacramento,9/24/2015,In Construction,298567089,141,Greater Sacramento Counties
34 - Sacramento,9/24/2015,In Closure,120215479,41,Greater Sacramento Counties
35 - San Benito,9/24/2015,In Review,0,0,
35 - San Benito,9/24/2015,Pending Construction,308802,4,
35 - San Benito,9/24/2015,In Construction,14008205,3,
35 - San Benito,9/24/2015,In Closure,0,0,
36 - San Bernardino,9/24/2015,In Review,657214741,60,
36 - San Bernardino,9/24/2015,Pending Construction,25644446,87,
36 - San Bernardino,9/24/2015,In Construction,199230713,116,
36 - San Bernardino,9/24/2015,In Closure,7019778,46,
37 - San Diego,9/24/2015,In Review,96843267,111,
37 - San Diego,9/24/2015,Pending Construction,46319553,110,
37 - San Diego,9/24/2015,In Construction,987933551,247,
37 - San Diego,9/24/2015,In Closure,61795681,85,
38 - San Francisco,9/24/2015,In Review,406624256,43,Bay Area Counties
38 - San Francisco,9/24/2015,Pending Construction,38946949,47,Bay Area Counties
38 - San Francisco,9/24/2015,In Construction,1222874570,125,Bay Area Counties
38 - San Francisco,9/24/2015,In Closure,471270001,27,Bay Area Counties
39 - San Joaquin,9/24/2015,In Review,34170533,22,
39 - San Joaquin,9/24/2015,Pending Construction,5554621,24,
39 - San Joaquin,9/24/2015,In Construction,15059495,46,
39 - San Joaquin,9/24/2015,In Closure,6827305,21,
40 - San Luis Obispo,9/24/2015,In Review,2168186,10,
40 - San Luis Obispo,9/24/2015,Pending Construction,627250,14,
40 - San Luis Obispo,9/24/2015,In Construction,3681503,13,
40 - San Luis Obispo,9/24/2015,In Closure,7751947,16,
41 - San Mateo,9/24/2015,In Review,68718610,26,Bay Area Counties
41 - San Mateo,9/24/2015,Pending Construction,156204517,39,Bay Area Counties
41 - San Mateo,9/24/2015,In Construction,72675109,34,Bay Area Counties
41 - San Mateo,9/24/2015,In Closure,44681250,19,Bay Area Counties
42 - Santa Barbara,9/24/2015,In Review,5810877,18,
42 - Santa Barbara,9/24/2015,Pending Construction,12674871,22,
42 - Santa Barbara,9/24/2015,In Construction,371630978,54,
42 - Santa Barbara,9/24/2015,In Closure,17938584,23,
43 - Santa Clara,9/24/2015,In Review,252806677,75,Bay Area Counties
43 - Santa Clara,9/24/2015,Pending Construction,15510888,46,Bay Area Counties
43 - Santa Clara,9/24/2015,In Construction,1701361384,136,Bay Area Counties
43 - Santa Clara,9/24/2015,In Closure,134998549,29,Bay Area Counties
44 - Santa Cruz,9/24/2015,In Review,2831150,5,
44 - Santa Cruz,9/24/2015,Pending Construction,330009,4,
44 - Santa Cruz,9/24/2015,In Construction,10457324,13,
44 - Santa Cruz,9/24/2015,In Closure,999095,5,
45 - Shasta,9/24/2015,In Review,21255435,13,
45 - Shasta,9/24/2015,Pending Construction,513200,9,
45 - Shasta,9/24/2015,In Construction,9823329,23,
45 - Shasta,9/24/2015,In Closure,2508032,18,
46 - Sierra,9/24/2015,In Review,0,0,
46 - Sierra,9/24/2015,Pending Construction,0,0,
46 - Sierra,9/24/2015,In Construction,0,0,
46 - Sierra,9/24/2015,In Closure,0,0,
47 - Siskiyou,9/24/2015,In Review,1604000,5,
47 - Siskiyou,9/24/2015,Pending Construction,661000,5,
47 - Siskiyou,9/24/2015,In Construction,553032,5,
47 - Siskiyou,9/24/2015,In Closure,1146708,8,
48 - Solano,9/24/2015,In Review,58532722,17,Bay Area Counties
48 - Solano,9/24/2015,Pending Construction,607000,8,Bay Area Counties
48 - Solano,9/24/2015,In Construction,46448803,34,Bay Area Counties
48 - Solano,9/24/2015,In Closure,9885129,21,Bay Area Counties
49 - Sonoma,9/24/2015,In Review,6257396,25,Bay Area Counties
49 - Sonoma,9/24/2015,Pending Construction,1287467,18,Bay Area Counties
49 - Sonoma,9/24/2015,In Construction,18743243,60,Bay Area Counties
49 - Sonoma,9/24/2015,In Closure,131483008,29,Bay Area Counties
50 - Stanislaus,9/24/2015,In Review,11972504,17,
50 - Stanislaus,9/24/2015,Pending Construction,5484135,33,
